Google ,Microsoft ,Facebook,Amazon
ASIT Japan,Aalto University,Georgia Tech,Caltech
Australian National University,Alan Turing Institute,Harvard,Carnegie Mellon University
Bar Ilan University,Carnegie Mellon University,ICREA,Heidelberg University
Brown University,China Sun Yat-Sen University,INRIA,Imperial College
Caltech,Chinese Academy of Sciences,Johns Hopkins University,Ohio State University
Carnegie Mellon University,ETH Zurich,McGill University,Rutgers University
CMU,Harbin Institute of Technology,New York University,University College London
Columbia University,Hebrew University,Sorbonne Universite,University of California
Cornell University,Hefei University of Technology Beijing,Stanford University,University of Edinburgh
ETH Zurich,Hong Kong Polytechnic University,Tel Aviv University,University of Southern California
Harvard,Indian Institute of Science,Texas A&M University,University of Texas
Hebrew University,MILA,Universite Le Mans,University of Washington
INRIA,MIT,University College London,University of Wisconsin-Madison
INSEE,Polytechnique Montreal,University of California,
Mila,Princeton University,University of Michigan,
Mines ParisTech,Shanghai Jiao Tong Unviersity,University of Texas,
MIT,South China University of Technology,University of Washington,
New York University,Stanford University,,
Princeton University,Technion-Israel Institute of Technology,,
Rutgers University,Tel Aviv University,,
Stanford University,Tsinghua University,,
Technion-Israel Institute of Technology,Universite de Montreal,,
Tel Aviv University,University College London,,
TTS Research,University of California,,
University College London,Cambridge University,,
University of Alberta,University of Illinois,,
University of California,University of Maryland,,
University of Colorado,University of Massachusetts,,
University of Edinburgh,University of Münster,,
University of Michigan,University of Science and Technology of China,,
University of Minnesota,University of Trento,,
University of Oxford,University of Washington,,
University of Texas,Weizmann Institute,,
University of Warsaw,,,
University of Washington,,,
University of South California,,,
